"124r -- Yksityisen sektorin kuukausipalkkaisten ansiot koulutusluokituksen (4-numeroinen tutkintokoodi) mukaan vuonna 2018, 2018"

"Vuosi";"Koulutusluokitus";"Säännöllisen työajan keskiansio";"Säännöllisen työajan ansion mediaani"
"2018";"6136 Musiikinopettaja, alempi korkeakouluaste";.;.
"2018";"6139 Muu opettajankoulutus, alempi korkeakouluaste";2685;2527
"2018";"6211 Käsi- ja taideteollisuuden ja konservoinnin ammattikorkeakoulututkinto";3049;2850
"2018";"6212 Musiikin ammattikorkeakoulututkinto";2902;2630
"2018";"6213 Kuvataiteen ammattikorkeakoulututkinto";2538;2328
"2018";"6215 Teatteri- ja tanssialan ammattikorkeakoulututkinto";2647;2594
"2018";"6216 Medianomin ammattikorkeakoulututkinto";3409;3320
"2018";"6217 Humanistisen alan ja kulttuurialan ammattikorkeakoulututkinto";2893;2736
"2018";"6219 Muu humanistinen, taide- ja kulttuurialan ammattikorkeakoulututkinto";.;.
"2018";"6221 Taiteen koulutus, alempi korkeakouluaste";3786;3500
"2018";"6222 Musiikin koulutus, alempi korkeakouluaste";3010;2752
"2018";"6223 Kuvataiteen koulutus, alempi korkeakouluaste";.;.
"2018";"6225 Teatteri- ja tanssialan koulutus, alempi korkeakouluaste";3465;3290
"2018";"6229 Muu taidealan koulutus, alempi korkeakouluaste";.;.
"2018";"6231 Humanististen tieteiden kandidaatti, kielitieteet";3222;2997
"2018";"6232 Humanististen tieteiden kandidaatti, kääntäminen ja tulkkaus";3094;2979
"2018";"6233 Humanististen tieteiden kandidaatti, historia ja arkeologia";3214;2991
"2018";"6234 Humanististen tieteiden kandidaatti, kirjallisuuden, kulttuurien ja kielentutkimus";3113;2991
"2018";"6235 Humanististen tieteiden kandidaatti, taiteiden tutkimus";2963;2716
"2018";"6236 Humanististen tieteiden kandidaatti, viestintätieteet ja informaatiotutkimus";3458;3344
"2018";"6237 Humanististen tieteiden kandidaatti, filosofia";.;.
"2018";"6239 Humanististen tieteiden kandidaatti, muu ala";.;.
"2018";"6241 Teologian koulutus, alempi korkeakouluaste";2706;2520
"2018";"6281 Diplomikielenkääntäjä (kieli-instituutti)";3855;3488
"2018";"6299 Muu humanistinen ja taidealan koulutus, alempi korkeakouluaste";2900;2655
"2018";"6311 Tradenomi, liiketalouden ammattikorkeakoulututkinto";3603;3260
"2018";"6321 Kauppatieteiden kandidaatti (alempi)";3810;3337
"2018";"6322 Ekonomi (alempi)";5307;4784
"2018";"6324 Akateeminen sihteeri ja kirjeenvaihtaja";4001;3628
"2018";"6329 Muu kauppatieteellinen koulutus, alempi korkeakouluaste";5162;3754
"2018";"6331 Valtiotieteiden kandidaatti (alempi)";3463;3193
"2018";"6332 Yhteiskuntatieteiden kandidaatti (alempi)";3513;3247
"2018";"6333 Hallintotieteiden kandidaatti (alempi)";3453;3072
"2018";"6334 Humanististen tieteiden kandidaatti, yhteiskuntatieteellinen ala";3758;3451
"2018";"6335 Psykologian kandidaatti (alempi)";2956;3040
"2018";"6336 Taloudellis-hallinnollinen tutkinto";.;.
"2018";"6339 Muu yhteiskuntatieteellinen koulutus, alempi korkeakouluaste";.;.
"2018";"6341 Oikeustieteellinen koulutus, alempi korkeakouluaste";4044;3757
"2018";"6391 Sosionomikoulutus ja muu yhteiskunnallinen toimihenkilökoulutus";4388;4020
"2018";"6399 Muu kaupallinen ja yhteiskuntatieteellinen koulutus, alempi korkeakouluaste";3003;2615
"2018";"6421 Luonnontieteiden kandidaatti, matematiikka ja tilastotiede";3727;3402
"2018";"6422 Luonnontieteiden kandidaatti, tietojenkäsittelytiede";4494;4258
"2018";"6423 Luonnontieteiden kandidaatti, fysikaaliset tieteet";3135;2426
"2018";"6424 Luonnontieteiden kandidaatti, kemia";3018;2805
"2018";"6425 Luonnontieteiden kandidaatti, geologia";3469;3008
"2018";"6426 Luonnontieteiden kandidaatti, maantiede";3077;3104
"2018";"6427 Luonnontieteiden kandidaatti, biologia, biotieteet, biokemia ja ympäristö- tiede";2636;2331
"2018";"6429 Luonnontieteiden kandidaatti, muu ala";.;.
"2018";"6499 Muu luonnontieteellinen koulutus, alempi korkeakouluaste";3841;3492
"2018";"6511 Insinööri (AMK), konetekniikka, energiatekniikka ja kuljetustekniikka";3954;3749
"2018";"6512 Insinööri (AMK), sähkötekniikka ja automaatiotekniikka";4086;3888
"2018";"6513 Insinööri (AMK), tietotekniikka ja tietoliikennetekniikka";4018;3863
"2018";"6514 Insinööri (AMK), prosessitekniikka ja materiaalitekniikka";3812;3626
"2018";"6515 Insinööri (AMK), rakennustekniikka ja maanmittaustekniikka";4058;3820
"2018";"6516 Insinööri (AMK), tuotantotalous";4063;3777
"2018";"6519 Insinööri (AMK), muu tekniikka";3631;3440
"2018";"6521 Rakennusmestarin ammattikorkeakoulututkinto";3902;3658
"2018";"6522 Miljöösuunnittelun ammattikorkeakoulututkinto";3932;3804
"2018";"6523 Tekstiili- ja vaatetusalan ammattikorkeakoulututkinto";.;.
"2018";"6524 Laboratorioalan ammattikorkeakoulututkinto";2951;2801
"2018";"6531 Insinööri, konetekniikka, energiatekniikka ja kuljetustekniikka";5106;4742
"2018";"6532 Insinööri, sähkötekniikka ja automaatiotekniikka";5115;4804
"2018";"6533 Insinööri, tietotekniikka ja tietoliikennetekniikka";5294;5020
"2018";"6534 Insinööri, prosessitekniikka ja materiaalitekniikka";4876;4589
"2018";"6535 Insinööri, rakennustekniikka ja maanmittaustekniikka";4876;4633
"2018";"6536 Insinööri, tuotantotalous";5095;4847
"2018";"6539 Insinööri, muu tekniikka";4106;3896
"2018";"6541 Rakennusarkkitehti";4147;3975
"2018";"6551 Tekniikan kandidaatti, konetekniikka ja energiatekniikka";3157;3200
"2018";"6552 Tekniikan kandidaatti, sähkötekniikka ja automaatiotekniikka";3141;3100
"2018";"6553 Tekniikan kandidaatti, tietotekniikka ja tietoliikennetekniikka";3913;3600
"2018";"6554 Tekniikan kandidaatti, prosessitekniikka ja materiaalitekniikka";2972;2950
"2018";"6555 Tekniikan kandidaatti, rakennustekniikka ja maanmittaustekniikka";3172;3124
"2018";"6556 Tekniikan kandidaatti, tuotantotalous";3447;3417
"2018";"6558 Tekniikan kandidaatti, arkkitehtuuri";3264;3063
"2018";"6559 Tekniikan kandidaatti, muu tekniikka";2792;2590
"2018";"6599 Muu tekniikan koulutus, alempi korkeakouluaste";3559;3163
"2018";"6611 Agrologi (AMK)";2931;2794
"2018";"6612 Hortonomi (AMK)";2936;2784
"2018";"6613 Metsätalousinsinööri (AMK)";3425;3219
"2018";"6614 Iktyonomi (AMK)";3190;3209
"2018";"6615 Ympäristösuunnittelija (AMK); ympäristöohjaaja (AMK)";2808;2855
"2018";"6619 Muu maa- ja metsätalousalan ammattikorkeakoulututkinto";.;.
"2018";"6621 Maatalous- ja metsätieteiden kandidaatti (alempi)";3267;3000
"2018";"6622 Elintarviketieteiden kandidaatti (alempi)";3406;3170
"2018";"6625 Metsätalousinsinööri";3911;3587
"2018";"6629 Muu maa- ja metsätalousalan koulutus, alempi korkeakouluaste";.;.
"2018";"6711 Terveydenhuollon ammattikorkeakoulututkinto";2996;2842
"2018";"6712 Sosiaalialan ammattikorkeakoulututkinto";2839;2702
"2018";"6719 Muu terveys- ja sosiaalialan ammattikorkeakoulututkinto";2832;2731
"2018";"6721 Lääketieteen kandidaatti";.;.
"2018";"6722 Hammaslääketieteen kandidaatti";.;.
"2018";"6724 Farmaseutti";3170;3079
"2018";"6725 Terveystieteiden kandidaatti (alempi)";3258;3184
"2018";"6726 Terveydenhoitoalan hallinnollinen tutkinto";3538;3194
"2018";"6729 Muu terveys- ja sosiaalialan koulutus, alempi korkeakouluaste";.;.
"2018";"6811 Matkailu-, ravitsemis- ja talousalan ammattikorkeakoulututkinto";3039;2775
"2018";"6812 Vapaa-aikatoiminnan ja liikunnan ammattikorkeakoulututkinto";3077;2872
"2018";"6813 Kauneudenhoitoalan ammattikorkeakoulututkinto";3084;2842
"2018";"6814 Merenkulun ammattikorkeakoulututkinto";4671;4572
"2018";"6815 Suojelualan ammattikorkeakoulututkinto";.;.
"2018";"6819 Muu palvelualojen ammattikorkeakoulututkinto";4147;3920
"2018";"6822 Liikuntatieteiden kandidaatti (alempi), liikuntakasvatuksen kandidaatti";3327;3215
"2018";"6824 Liikenteen ja merenkulun koulutus, alempi korkeakouluaste";5293;5232
"2018";"6826 Sotilasalan koulutus, alempi korkeakouluaste";.;.
"2018";"6829 Muu palvelualojen koulutus, alempi korkeakouluaste";.;.
"2018";"6919 Muu ammattikorkeakoulututkinto";.;.
"2018";"6929 Humanististen tieteiden kandidaatti, muu koulutusala";.;.
"2018";"6999 Muu koulutus, alempi korkeakouluaste";3394;3020
"2018";"7111 Musiikin ylempi ammattikorkeakoulututkinto, opettajankoulutus";3141;3042
"2018";"7121 Kasvatustieteen maisteri, kasvatustieteiden kandidaatti (ylempi), opettajankoulutus";4124;3893
"2018";"7122 Kasvatustieteen maisteri, kasvatustieteiden kandidaatti (ylempi), kasvatustieteet";3885;3700
"2018";"7199 Muu kasvatustieteellinen ja opettajankoulutus, ylempi korkeakouluaste";3057;2988
"2018";"7211 Käsi- ja taideteollisuuden ja konservoinnin ylempi ammattikorkeakoulututkinto";3550;3500
"2018";"7212 Musiikin ylempi ammattikorkeakoulututkinto";.;.
"2018";"7213 Kuvataiteen ylempi ammattikorkeakoulututkinto";.;.
"2018";"7216 Medianomin ylempi ammattikorkeakoulututkinto";4025;3850
"2018";"7217 Humanistisen alan ja kulttuurialan ylempi ammattikorkeakoulututkinto";3652;3544
"2018";"7221 Taiteen maisteri, taiteen kandidaatti (ylempi)";3886;3852
"2018";"7229 Muu taiteen koulutus, ylempi korkeakouluaste";4032;3963
"2018";"7231 Musiikin maisteri, musiikin kandidaatti (ylempi)";3396;3270
"2018";"7239 Muu musiikin koulutus, ylempi korkeakouluaste";3625;3540
"2018";"7241 Kuvataiteen maisteri; kuvataideakatemian loppututkinto";2911;2538
"2018";"7251 Teatteritaiteen maisteri, teatteritaiteen kandidaatti (ylempi)";3706;3438
"2018";"7252 Tanssitaiteen maisteri, tanssitaiteen kandidaatti (ylempi)";3451;3356
"2018";"7259 Muu teatteri- ja tanssialan koulutus, ylempi korkeakouluaste";.;.
"2018";"7261 Filosofian maisteri, filosofian kandidaatti, kielitieteet";3744;3565
"2018";"7262 Filosofian maisteri, filosofian kandidaatti, kääntäminen ja tulkkaus";3708;3520
"2018";"7263 Filosofian maisteri, filosofian kandidaatti, historia ja arkeologia";3679;3412
"2018";"7264 Filosofian maisteri, filosofian kandidaatti, kirjallisuuden, kulttuurien ja kielentutkimus";3576;3395
"2018";"7265 Filosofian maisteri, filosofian kandidaatti, taiteiden tutkimus";3373;3100
"2018";"7266 Filosofian maisteri, filosofian kandidaatti, viestintätieteet ja informaatiotutkimus";3983;3816
"2018";"7267 Filosofian maisteri, filosofian kandidaatti, filosofia (humanistinen ala)";4030;3562
"2018";"7269 Filosofian maisteri, filosofian kandidaatti, muu humanistinen ala";3224;3024
"2018";"7271 Teologian maisteri, teologian kandidaatti (ylempi)";3697;3629
"2018";"7279 Muu teologian koulutus, ylempi korkeakouluaste";.;.
"2018";"7299 Muu humanistinen ja taidealan koulutus, ylempi korkeakouluaste";3311;3200
"2018";"7311 Kaupan ja hallinnon alan ammattikorkeakoulun jatkotutkinto";4563;4327
"2018";"7312 Tradenomi, liiketalouden ylempi ammattikorkeakoulututkinto";4379;4190
"2018";"7321 Kauppatieteiden maisteri, kauppatieteiden kandidaatti (ylempi)";5094;4655
"2018";"7322 Ekonomi (ylempi)";6686;6016
"2018";"7323 Taloustieteiden kandidaatti (ylempi)";5404;4825
"2018";"7329 Muu kauppatieteellinen koulutus, ylempi korkeakouluaste";5045;4600
"2018";"7331 Valtiotieteiden maisteri, valtiotieteen kandidaatti (ylempi)";4646;4171
"2018";"7332 Yhteiskuntatieteiden maisteri, yhteiskuntatieteiden kandidaatti (ylempi)";4050;3718
"2018";"7333 Hallintotieteiden maisteri, hallintotieteiden kandidaatti (ylempi)";4582;4206
"2018";"7334 Filosofian maisteri, filosofian kandidaatti, yhteiskuntatieteellinen ala";4658;4680
"2018";"7335 Psykologian maisteri, psykologian kandidaatti (ylempi)";4632;4230
"2018";"7339 Muu yhteiskuntatieteellinen koulutus, ylempi korkeakouluaste";.;.
"2018";"7341 Oikeustieteen maisteri, oikeustieteen kandidaatti, lainopin kandidaatti, ylempi oikeustutkinto";6567;6053
"2018";"7399 Muu kaupallinen ja yhteiskuntatieteellinen koulutus, ylempi korkeakouluaste";3867;3542
"2018";"7421 Filosofian maisteri, filosofian kandidaatti, matematiikka ja tilastotiede";4632;4434
"2018";"7422 Filosofian maisteri, filosofian kandidaatti, tietojenkäsittelytiede";4834;4596
"2018";"7423 Filosofian maisteri, filosofian kandidaatti, fysikaaliset tieteet";4308;4124
"2018";"7424 Filosofian maisteri, filosofian kandidaatti, kemia";4466;4179
"2018";"7425 Filosofian maisteri, filosofian kandidaatti, geologia";4241;3924
"2018";"7426 Filosofian maisteri, filosofian kandidaatti, maantiede";3954;3600
"2018";"7427 Filosofian maisteri, filosofian kandidaatti, biologia, biotieteet ja ympäristötiede";3779;3449
"2018";"7429 Filosofian maisteri, filosofian kandidaatti, muu luonnontieteellinen ala";3527;3361
"2018";"7499 Muu luonnontieteellinen koulutus, ylempi korkeakouluaste";4280;4305
"2018";"7501 Tekniikan ja liikenteen alan ammattikorkeakoulun jatkotutkinto";4670;4266
"2018";"7503 Insinööri (ylempi AMK), sähkötekniikka ja automaatiotekniikka";4381;4278
"2018";"7504 Insinööri (ylempi AMK), tietotekniikka ja tietoliikennetekniikka";5384;4870
"2018";"7505 Insinööri (ylempi AMK), prosessitekniikka ja materiaalitekniikka";4231;4119
